App,Developer,Downloads,Date_Reached,Date_Published,Category,Pre_installed,Type,Price
Google Play Services,Google,10B+,8/1/2020,9/26/2012,Tools,Yes,Free,
YouTube,Google,10B+,8/4/2021,10/20/2010,Video editor & social media,Yes,Free,
Google Maps,Google,10B+,11/16/2021,12/12/2012,Mapping,Yes,Free,
Speech Services by Google,Google,10B+,11/18/2021,10/10/2013,Accessibility tool,Yes,Free,
Google Search,Google,10B+,11/19/2021,8/12/2010,Search tool,Yes,Free,
Google Chrome,Google,10B+,12/4/2021,2/7/2012,Web browser,Yes,Free,
Gmail,Google,10B+,1/16/2022,9/21/2010,E-mail,Yes,Free,
Android Accessibility Suite,Google,10B+,12/18/2022,Unknown,Accessibility tool,Yes,Free,
Facebook,Meta,10B+,3/1/2023,8/9/2011,Social media,Yes*,Free,
Google Photos,Google,10B+,12/17/2023,5/28/2015,Photo/Video manager,Yes,Free,
Android System WebView,Google,10B+,12/17/2023,3/10/2015,Tools,Yes,Free,
Google Drive,Google,10B+,1/1/2024,4/27/2011,Cloud storage,Yes*,Free,
Android Switch,Google,10B+,10/7/2024,7/21/2021,File manager,Yes,Free,
WhatsApp Messenger,Meta,10B+,1/1/2025,8/18/2010,Communication,No,Free,
Gboard,Google,10B+,2/26/2025,1/26/2015,Keyboard,Yes*,Free,
Google TV,Google,10B+,7/5/2025,6/3/2011,Video player,Yes,Free,
Google Meet,Google,10B+,7/5/2025,8/18/2016,Communication,Yes*,Free,
YouTube Music,Google,5B-10B,11/1/2019,11/12/2015,Music,Yes*,Free,
Messenger,Meta,5B-10B,5/15/2021,1/30/2014,Communication,No,Free,
Google Hangouts,Google,5B-10B,6/3/2021,,Communication,,Free,
Samsung Push Service,Samsung,5B-10B,6/3/2022,3/29/2013,Communication,Yes*,Free,
Google Play Games,Google,5B-10B,8/14/2022,7/24/2013,Games,Yes*,Free,
Android Auto,Google,5B-10B,6/3/2023,3/19/2015,App manager for automobile,Yes,Free,
Google Calendar,Google,5B-10B,6/3/2023,10/17/2012,Calendar & organiser,Yes*,Free,
Instagram,Meta,5B-10B,9/1/2023,4/3/2012,Social media,Yes*,Free,
Google Messages,Google,5B-10B,10/2/2023,11/12/2014,Communication,Yes*,Free,
Digital Wellbeing,Google,5B-10B,11/1/2023,8/8/2018,Lifestyle,No,Free,
Carrier Services,Google,5B-10B,12/2/2023,3/13/2017,Communication,Yes*,Free,
Google Play Services for AR,Google,5B-10B,1/1/2025,12/11/2017,Tools,Yes*,Free,
Files by Google,Google,5B-10B,3/1/2025,12/5/2017,Storage cleaner & file manager,Yes*,Free,
Google Currents,Google,1B-5B,12/27/2014,6/28/2011,Social media,Yes*,Free,
Google Play Books,Google,1B-5B,6/1/2015,12/6/2010,Books & reference,Yes*,Free,
Google News,Google,1B-5B,9/20/2015,6/27/2012,News & magazines,No,Free,
Google Street View,Google,1B-5B,6/23/2017,9/9/2010,Travel & local,Yes*,Free,
Skype,Microsoft,1B-5B,11/2/2017,10/4/2010,Communication,Yes*,Free,
Subway Surfers,Kiloo,1B-5B,4/1/2018,9/20/2012,Games & arcade,No,Free,
Facebook Lite,Meta,1B-5B,12/16/2018,1/28/2015,Social media,Yes*,Free,
Snapchat,Snap Inc.,1B-5B,7/18/2019,10/29/2012,"Photo/Video editor, social media & mapping",No,Free,
Microsoft Word: Edit Documents,Microsoft,1B-5B,7/14/2019,1/6/2015,Word processor,Yes*,Free,
Microsoft OneDrive,Microsoft,1B-5B,9/15/2019,8/28/2012,Cloud storage,Yes*,Free,
TikTok,ByteDance,1B-5B,4/11/2020,7/9/2015,Video editor & social media,Yes*,Free,
X,X Corp,1B-5B,7/16/2020,4/30/2010,Social media,Yes*,Free,
Netflix,"Netflix, Inc",1B-5B,8/2/2020,1/6/2016,Media streaming,Yes*,Free,
Dropbox,"Dropbox, Inc.",1B-5B,9/2/2020,5/4/2010,Cloud storage,No,Free,
Google Docs,Google,1B-5B,11/1/2020,4/30/2014,Word processor,Yes*,Free,
Google Translate,Google,1B-5B,4/4/2021,1/1/2010,Translation,Yes*,Free,
